sim_time_us,node_id,time_source,join_priority
1601414,38,0x0001,1
1601432,22,0x0001,1
1601439,20,0x0001,1
1601440,34,0x0001,1
1601447,30,0x0001,1
121302432,9,0x001e,2
121302437,15,0x001e,2
121302437,24,0x001e,2
165402996,17,0x0016,2
211393169,12,0x0011,3
211393170,18,0x0011,3
220843444,26,0x0026,2
265888862,37,0x000c,4
294868871,10,0x0012,4
372674329,39,0x000a,5
383069404,2,0x0016,2
405434551,6,0x001a,4
427169793,27,0x0006,5
451424983,8,0x0022,2
467490156,31,0x0009,3
489855517,25,0x0006,5
493635300,23,0x0022,2
532065912,35,0x0006,5
584671141,19,0x001f,4
643261554,13,0x0023,6
647041419,14,0x0008,3
691141866,16,0x0017,3
705631991,21,0x0013,5
742802300,5,0x0008,3
750677433,40,0x000e,4
797612691,28,0x0026,2
821867983,33,0x000d,4
900303711,11,0x0028,5
904083735,4,0x0021,5
1002049377,41,0x0005,4
1025359610,7,0x0010,4
1097495400,32,0x0007,5
1235151354,29,0x0015,6
1513613357,3,0x0005,4
